Name ,Type,Rating,Address,"Latitude, Longitude",Station
CINE RENT,Movie theater,4.1,"164/1308, Rd Number 2, Motilal Nagar I, Goregaon West, Mumbai, Maharashtra 400104","19.156343953219487, 72.83928670099787",goregaon
MANTRA THEATRE GROUP MUMBAI,Performing arts theater,5,"B-35, 401/A wing, Gokuldham Colony, Goregaon, Mumbai, Maharashtra 400063","19.17256708268726, 72.86682891340394",goregaon
Inox,Movie theater,4.4,"Raghuleela Mega Mall, INOX Leisure Ltd., 2nd Floor, Swami Vivekananda Rd, Kandivali West, Mumbai, Maharashtra 400067","19.216807563843094, 72.84949020232986",goregaon
AASRA For Theatre mumbai, Performing arts theater,5,"Motilal Nagar I, Goregaon West, Mumbai, Maharashtra 400104","19.15683453769205, 72.83700948085074",goregaon
Cinemaa Zindabad,Movie theater,5,"Vashundhra Building, B Wing, 406, Shanti Nagar, Goregaon West, Mumbai, Maharashtra 400104","19.168943475642102, 72.84569263268466",goregaon
Miraj Entertainment Limited - Head Office (Cinemas),Movie theater,4.6,"7th Floor, Eureka Towers Eureka Tower, Wing B, off New Link Road, behind Malad West, Malad, Rajan Pada, Mindspace, Malad West, Mumbai, Maharashtra 400064","19.18028073075136, 72.83489222622678",goregaon
Studio Decibel,Movie theater,4.6,"Satellite Gardens, Studio Decibel 5.1 Mixing Studio. D3-001, D-Wing, Pragati Welfare CHS, Gokuldham Colony, Goregaon, Mumbai, Maharashtra 400065","19.17252265908819, 72.87478241153964",goregaon
MovieMax - Goregaon West,Movie theater,3.5,"Police Station, Swami Vivekananda Rd, nr. Goregaon, Kumud Nagar, Goregaon West, W, Mumbai, Maharashtra 400062","19.157521454834317, 72.84666277501245",goregaon
Movietime: The Hub Mall,Movie theater,3.7,"Police Station, 3rd Floor, The Hub Mall Western Express Highway Nirlon Compound, Near, Goregaon, Mumbai, Maharashtra 400063","19.155019326915006, 72.85709777918116",goregaon
Carnival Cinemas,Movie theater,3.7,"Plot No. 1, Ram Mandir Rd, off Swami Vivekananda Road, Mahatma Jyotiba Phule Nagar, Goregaon West, Mumbai, Maharashtra 400062","19.152208901035372, 72.84931238579146",goregaon
